unique_id,accession_id,seq_name,organism,org_abv,country,loc_abv,type,continent,db
_218,OM203330.1,AmLi_CHN_N_218 #N:OM203330.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_219,OM203331.1,AmLi_CHN_N_219 #N:OM203331.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_220,OM203332.1,AmLi_CHN_N_220 #N:OM203332.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_221,OM203333.1,AmLi_CHN_N_221 #N:OM203333.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_222,OM203334.1,AmLi_CHN_N_222 #N:OM203334.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_223,OM203335.1,AmLi_CHN_N_223 #N:OM203335.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_224,OM203336.1,AmLi_CHN_N_224 #N:OM203336.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_225,OM203337.1,AmLi_CHN_N_225 #N:OM203337.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_226,OM203338.1,AmLi_CHN_N_226 #N:OM203338.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_227,OM203339.1,AmLi_CHN_N_227 #N:OM203339.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_228,OM203340.1,AmLi_CHN_N_228 #N:OM203340.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_229,OM203341.1,AmLi_CHN_N_229 #N:OM203341.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_230,OM203342.1,AmLi_CHN_N_230 #N:OM203342.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_231,OM203343.1,AmLi_CHN_N_231 #N:OM203343.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_232,OM203344.1,AmLi_CHN_N_232 #N:OM203344.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_233,OM203345.1,AmLi_CHN_N_233 #N:OM203345.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_234,OM203346.1,AmLi_CHN_N_234 #N:OM203346.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_235,OM203347.1,AmLi_CHN_N_235 #N:OM203347.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_236,OM203348.1,AmLi_CHN_N_236 #N:OM203348.1,Apis mellifera ligustica,AmLi,China,CHN,N,Asia,N
_237,KY464957.1,AmMd_IRN_N_237 #N:KY464957.1,Apis mellifera meda,AmMd,Iran,IRN,N,Asia,N
_238,OR123805.1,Am_IRQ_N_238 #N:OR123805.1,Apis mellifera,Am,Iraq,IRQ,N,Asia,N
_239,PP994689.1,Am_IRQ_N_239 #N:PP994689.1,Apis mellifera,Am,Iraq,IRQ,N,Asia,N
_240,MH341407.1,AmLi_KOR_N_240 #N:MH341407.1,Apis mellifera ligustica,AmLi,Korea,KOR,N,Asia,N
_241,MH341408.1,AmLi_KOR_N_241 #N:MH341408.1,Apis mellifera ligustica,AmLi,Korea,KOR,N,Asia,N
_242,MT745901.1,Am_SAU_N_242 #N:MT745901.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_243,MT745902.1,Am_SAU_N_243 #N:MT745902.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_244,MT745903.1,Am_SAU_N_244 #N:MT745903.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_245,MT745904.1,Am_SAU_N_245 #N:MT745904.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_246,MT745905.1,Am_SAU_N_246 #N:MT745905.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_247,MT745906.1,Am_SAU_N_247 #N:MT745906.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_248,MT745907.1,Am_SAU_N_248 #N:MT745907.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_249,MT745908.1,Am_SAU_N_249 #N:MT745908.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_250,MT745909.1,Am_SAU_N_250 #N:MT745909.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_251,MT745910.1,Am_SAU_N_251 #N:MT745910.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_252,MT745911.1,Am_SAU_N_252 #N:MT745911.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_253,MT745912.1,Am_SAU_N_253 #N:MT745912.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_254,MT745913.1,Am_SAU_N_254 #N:MT745913.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_255,MT745914.1,Am_SAU_N_255 #N:MT745914.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_256,MT745915.1,Am_SAU_N_256 #N:MT745915.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_257,NC_051932.1,Am_SAU_N_257 #N:NC_051932.1,Apis mellifera,Am,Saudi Arabia,SAU,N,Asia,N
_258,KP163643.1,AmSy_SYR_N_258 #N:KP163643.1,Apis mellifera syriaca,AmSy,Syria,SYR,N,Asia,N
_259,KY926882.1,AmSy_SYR_N_259 #N:KY926882.1,Apis mellifera syriaca,AmSy,Syria,SYR,N,Asia,N
_260,MT188686.1,AmAn_TUR_N_260 #N:MT188686.1,Apis mellifera anatoliaca,AmAn,Turkey,TUR,N,Asia,N
_261,KM458618.1,AmIn_DZA_N_261 #N:KM458618.1,Apis mellifera intermissa,AmIn,Algeria,DZA,N,Africa,N
_262,MF351881.1,AmSa_DZA_N_262 #N:MF351881.1,Apis mellifera sahariensis,AmSa,Algeria,DZA,N,Africa,N
_263,NC_035883.1,AmSa_DZA_N_263 #N:NC_035883.1,Apis mellifera sahariensis,AmSa,Algeria,DZA,N,Africa,N
_264,KY464958.1,AmLa_EGY_N_264 #N:KY464958.1,Apis mellifera lamarckii,AmLa,Egypt,EGY,N,Africa,N
_265,MN585108.1,AmSm_ETH_N_265 #N:MN585108.1,Apis mellifera simensis,AmSm,Ethiopia,ETH,N,Africa,N
_266,MF678581.1,AmMo_KEN_N_266 #N:MF678581.1,Apis mellifera monticola,AmMo,Kenya,KEN,N,Africa,N
_267,KY926883.1,AmIn_MAR_N_267 #N:KY926883.1,Apis mellifera intermissa,AmIn,Morocco,MAR,N,Africa,N
_268,MN119925.1,AmUn_MDG_N_268 #N:MN119925.1,Apis mellifera unicolor,AmUn,Madagascar,MDG,N,Africa,N
_269,MN585109.1,AmAd_WAF_N_269 #N:MN585109.1,Apis mellifera adansonii,AmAd,West Africa,WAF,N,Africa,N
_270,KX870183.1,AmCa_ZAF_N_270 #N:KX870183.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_271,KX943034.1,AmScCa_ZAF_N_271 #N:KX943034.1,Apis mellifera scutellata x Apis mellifera capensis,AmScCa,South Africa,ZAF,N,Africa,N
_272,MG552681.1,AmCa_ZAF_N_272 #N:MG552681.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_273,MG552682.1,AmCa_ZAF_N_273 #N:MG552682.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_274,MG552683.1,AmCa_ZAF_N_274 #N:MG552683.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_275,MG552684.1,AmCa_ZAF_N_275 #N:MG552684.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_276,MG552685.1,AmCa_ZAF_N_276 #N:MG552685.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_277,MG552686.1,AmCa_ZAF_N_277 #N:MG552686.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_278,MG552687.1,AmCa_ZAF_N_278 #N:MG552687.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_279,MG552688.1,AmCa_ZAF_N_279 #N:MG552688.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_280,MG552689.1,AmCa_ZAF_N_280 #N:MG552689.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_281,MG552690.1,AmCa_ZAF_N_281 #N:MG552690.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_282,MG552691.1,AmCa_ZAF_N_282 #N:MG552691.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_283,MG552692.1,AmCa_ZAF_N_283 #N:MG552692.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_284,MG552693.1,AmCa_ZAF_N_284 #N:MG552693.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_285,MG552694.1,AmCa_ZAF_N_285 #N:MG552694.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_286,MG552695.1,AmCa_ZAF_N_286 #N:MG552695.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_287,MG552696.1,AmCa_ZAF_N_287 #N:MG552696.1,Apis mellifera capensis,AmCa,South Africa,ZAF,N,Africa,N
_288,MG552697.1,AmCaSc_ZAF_N_288 #N:MG552697.1,Apis mellifera capensis x Apis mellifera scutellata,AmCaSc,South Africa,ZAF,N,Africa,N
_289,MG552698.1,AmSc_ZAF_N_289 #N:MG552698.1,Apis mellifera scutellata,AmSc,South Africa,ZAF,N,Africa,N
_290,MG552699.1,AmSc_ZAF_N_290 #N:MG552699.1,Apis mellifera scutellata,AmSc,South Africa,ZAF,N,Africa,N
_291,MG552700.1,AmSc_ZAF_N_291 #N:MG552700.1,Apis mellifera scutellata,AmSc,South Africa,ZAF,N,Africa,N
_292,MG552701.1,AmSc_ZAF_N_292 #N:MG552701.1,Apis mellifera scutellata,AmSc,South Africa,ZAF,N,Africa,N
_293,MG552702.1,AmSc_ZAF_N_293 #N:MG552702.1,Apis mellifera scutellata,AmSc,South Africa,ZAF,N,Africa,N
_294,MG552703.1,AmSc_ZAF_N_294 #N:MG552703.1,Apis mellifera scutellata,AmSc,South Africa,ZAF,N,Africa,N
